Австралийский доллар, AUD
Азербайджанский манат, AZN
Фунт стерлингов Соединенного королевства, GBP
Армянских драмов, AMD
Белорусский рубль, BYN
Болгарский лев, BGN
Бразильский реал, BRL
Венгерских форинтов, HUF
Вьетнамских донгов, VND
Гонконгский доллар, HKD
Грузинский лари, GEL
Датская крона, DKK
Дирхам ОАЭ, AED
Доллар США, USD
Евро, EUR
Египетских фунтов, EGP
Индийских рупий, INR
Индонезийских рупий, IDR
Казахстанских тенге, KZT
Канадский доллар, CAD
Катарский риал, QAR
Киргизских сомов, KGS
Китайский юань, CNY
Молдавских леев, MDL
Новозеландский доллар, NZD
Норвежских крон, NOK
Польский злотый, PLN
Рубль, RUB
Румынский лей, RON
СДР (специальные права заимствования), XDR
Сингапурский доллар, SGD
Таджикских сомони, TJS
Таиландских батов, THB
Турецких лир, TRY
Новый туркменский манат, TMT
Узбекских сумов, UZS
Украинских гривен, UAH
Чешских крон, CZK
Шведских крон, SEK
Швейцарский франк, CHF
Сербских динаров, RSD
Южноафриканских рэндов, ZAR
Вон Республики Корея, KRW
Японских иен, JPY
